cui,preferred_name,semantic_types,token,frequency
C0031669,Phospholipase C,"aapp,enzy",Phospholipase C,1
C0017963,"glycoprotein hormones, alpha subunit","aapp,horm,phsu","glycoprotein hormones, alpha subunit",1
C0014651,Equatorial Guinea,geoa,Equatorial Guinea,1
C0018338,Cyclic GMP,"bacs,nnon",Cyclic GMP,1
C0018358,Guanylate Cyclase,"aapp,enzy",Guanylate Cyclase,1
C0017887,nitroglycerin,"orch,phsu",nitroglycerin,1
C0033640,Protein Kinases,"aapp,enzy",Protein Kinases,1
C0061352,Glucagon Receptor,"aapp,rcpt",Glucagon Receptor,1
C0034818,Insulin Receptor,"aapp,enzy,rcpt",Insulin Receptor,1
C0022917,Lactate Dehydrogenase,"aapp,enzy",Lactate Dehydrogenase,1
C0010288,Creatine kinase isoenzyme,"aapp,enzy",Creatine kinase isoenzyme,1
C1305957,Cardiac troponin I,"aapp,bacs",Cardiac troponin I,1
C0041199,Troponin,"aapp,bacs",Troponin,1
C0201885,"Amylase measurement, serum (procedure)",lbpr,"Amylase measurement, serum (procedure)",1
C0345904,Malignant neoplasm of liver,neop,Malignant neoplasm of liver,1
C0475358,Tumor tissue sample,tisu,Tumor tissue sample,1
C0200896,Cytogenetic procedure,lbpr,Cytogenetic procedure,1
C0022526,Karyotype determination procedure,mbrt,Karyotype determination procedure,1
C0010656,caspase,"aapp,enzy",caspase,1
C0333953,Involution,orgf,Involution,1
C0917892,Genetic Drift,genf,Genetic Drift,1
C0242918,Founder Effect,phpr,Founder Effect,1
C2717776,Genetic Fitness,genf,Genetic Fitness,1
C0578117,Carbohydrate derivative,orch,Carbohydrate derivative,1
C0232602,Retching,sosy,Retching,1
C0179376,"Bottle, device",mnob,"Bottle, device",1
C0179445,Brush device,mnob,Brush device,1
C0205418,Aggregate,qlco,Aggregate,1
C0065011,link protein,"aapp,bacs",link protein,1
C0005804,Blood Group Antigens,imft,Blood Group Antigens,1
C0012990,Dolichols,"bacs,orch",Dolichols,1
C0063017,"PPY protein, human","aapp,bacs","PPY protein, human",1
C0033235,Procollagen,"aapp,bacs",Procollagen,1
C0041193,Tropocollagen,"aapp,bacs",Tropocollagen,1
C0011702,Desmosine,"aapp,bacs",Desmosine,1
C1291314,Deficiency of monooxygenase,dsyn,Deficiency of monooxygenase,1
C1320928,Resident (physician),prog,Resident (physician),1
C0233569,Physical wandering,inbe,Physical wandering,1
C0333936,Metachromatic stain reaction,celf,Metachromatic stain reaction,1
C0230889,Connective tissue matrix,bpoc,Connective tissue matrix,1
C0225328,Fibril - cell component,celc,Fibril - cell component,1
C1294006,Reticulin stain method,lbpr,Reticulin stain method,1
C4255101,Fibrillins,"aapp,bacs",Fibrillins,1
C0017973,Glycosaminoglycans,"bacs,orch,phsu",Glycosaminoglycans,1
C0459424,Abnormal result,fndg,Abnormal result,1
C0009781,Connective Tissue Cells,cell,Connective Tissue Cells,1
C0040541,Toxicology,bmod,Toxicology,1
C0669372,"NOS2A protein, human","aapp,enzy","NOS2A protein, human",1
C0034987,"Regulatory Sequences, Nucleic Acid","bacs,nnon","Regulatory Sequences, Nucleic Acid",1
C1742862,"CISH protein, human","aapp,bacs","CISH protein, human",1
C1869853,"SERPINA3 protein, human","aapp,bacs","SERPINA3 protein, human",1
C0035147,Repressor Proteins,"aapp,bacs",Repressor Proteins,1
C0314611,Gene type,genf,Gene type,1
C0036225,Sarcomeres,celc,Sarcomeres,1
C0684215,Intercalated disc,celc,Intercalated disc,1
C1179930,Contractile apparatus of smooth muscle cell,celc,Contractile apparatus of smooth muscle cell,1
C0027767,Nervous System Physiological Phenomena,ortf,Nervous System Physiological Phenomena,1
C0504216,Somatic nervous system,bdsy,Somatic nervous system,1
C1179884,Electrical Synapses,celc,Electrical Synapses,1
C0017068,Autonomic ganglion,bpoc,Autonomic ganglion,1
C1181164,Set of peripheral neuroglial cells,cell,Set of peripheral neuroglial cells,1
C0206441,Pyramidal Cells,cell,Pyramidal Cells,1
C0228081,Neuropil,celc,Neuropil,1
C2339990,"Motor Neurons, Alpha",cell,"Motor Neurons, Alpha",1
C0003707,Arachnoid mater,bpoc,Arachnoid mater,1
C0031869,Pia Mater,bpoc,Pia Mater,1
C0004385,"Autonomic Fibers, Preganglionic",bpoc,"Autonomic Fibers, Preganglionic",1
C0206252,"Parasympathetic Fibers, Postganglionic",bpoc,"Parasympathetic Fibers, Postganglionic",1
C0228979,Structure of preganglionic sympathetic fiber,bpoc,Structure of preganglionic sympathetic fiber,1
C0206254,Structure of postganglionic sympathetic fiber,bpoc,Structure of postganglionic sympathetic fiber,1
C1305286,Entire autonomic nerve,bpoc,Entire autonomic nerve,1
C1322279,Dilate procedure,topp,Dilate procedure,1
C0026205,Miosis disorder,dsyn,Miosis disorder,1
C0439775,Elevation procedure,topp,Elevation procedure,1
C0585636,Upper eyelid structure,bpoc,Upper eyelid structure,1
C0013681,Efferent Pathways,bpoc,Efferent Pathways,1
C0006055,Botulinum Toxins,"aapp,hops,phsu",Botulinum Toxins,1
C0521164,Ring (shape),spco,Ring (shape),1
C0031696,Phosphoribosyl Pyrophosphate,"bacs,orch",Phosphoribosyl Pyrophosphate,1
C0034140,Purines,orch,Purines,1
C0018346,Guanosine Monophosphate,"bacs,nnon",Guanosine Monophosphate,1
C0041041,trimethoprim,"antb,orch",trimethoprim,1
C0026933,mycophenolic acid,"antb,orch",mycophenolic acid,1
C0599503,Sulfonamide Anti-Infective Agents,"antb,orch",Sulfonamide Anti-Infective Agents,1
C0001414,Adenine Phosphoribosyltransferase,"aapp,enzy",Adenine Phosphoribosyltransferase,1
C0020687,Hypoxanthine Phosphoribosyltransferase,"aapp,enzy",Hypoxanthine Phosphoribosyltransferase,1
C0543484,catabolic aspects,ftcn,catabolic aspects,1
C0034137,Purine Nucleotides,nnon,Purine Nucleotides,1
C0249529,febuxostat,"orch,phsu",febuxostat,1
C0268124,Adenosine deaminase deficiency,dsyn,Adenosine deaminase deficiency,1
C0259743,Autosomal recessive SCID,dsyn,Autosomal recessive SCID,1
C0010734,Cytidine Triphosphate,nnon,Cytidine Triphosphate,1
C0042010,Uridine Triphosphate,"bacs,nnon",Uridine Triphosphate,1
C0040079,Thymidine Monophosphate,"bacs,nnon",Thymidine Monophosphate,1
C0598496,Gene Silencing,genf,Gene Silencing,1
C3494434,Epigenetic Repression,genf,Epigenetic Repression,1
C0014412,Environmental Exposure,inpo,Environmental Exposure,1
C0025723,Methylation,moft,Methylation,1
C0005862,Southern blot assay (procedure),lbpr,Southern blot assay (procedure),1
C0443127,Aberrant,qlco,Aberrant,1
C0012906,DNA Restriction Enzymes,"aapp,enzy",DNA Restriction Enzymes,1
C1712036,Dacogen,"nnon,phsu",Dacogen,1
C0049065,decitabine,"nnon,phsu",decitabine,1
C0011485,Deoxycytidine,nnon,Deoxycytidine,1
C0476431,Abnormal Karyotype,fndg,Abnormal Karyotype,1
C0333714,Reciprocal translocation,comd,Reciprocal translocation,1
C1510418,Canis lupus,mamm,Canis lupus,1
C0242621,Isochromosomes,acab,Isochromosomes,1
C0035639,Ring Chromosomes,comd,Ring Chromosomes,1
C0206454,Growth Factor Receptors,"aapp,rcpt",Growth Factor Receptors,1
C0017256,Gene Amplification,genf,Gene Amplification,1
C0544885,Nonsense mutation,comd,Nonsense mutation,1
C0162735,Point Mutation,comd,Point Mutation,1
C0872152,Drug Development,bmod,Drug Development,1
C0338204,Herceptin,"aapp,imft,phsu",Herceptin,1
C0025619,Mesylates,orch,Mesylates,1
C1622401,"FAP protein, human","aapp,enzy","FAP protein, human",1
C0079419,TP53 gene,gngm,TP53 gene,1
C1567848,"Genes, Neoplasm",gngm,"Genes, Neoplasm",1
C0027708,Nephroblastoma,neop,Nephroblastoma,1
C0335350,Building caretaker,prog,Building caretaker,1
C1155872,Cell Cycle Control,celf,Cell Cycle Control,1
C0035335,Retinoblastoma,neop,Retinoblastoma,1
C0751483,Familial Retinoblastoma,neop,Familial Retinoblastoma,1
C0079424,Retinoblastoma Genes,gngm,Retinoblastoma Genes,1
C0751484,Sporadic Retinoblastoma,neop,Sporadic Retinoblastoma,1
C0027672,"Neoplastic Syndromes, Hereditary",neop,"Neoplastic Syndromes, Hereditary",1
C0555952,Colorectal,spco,Colorectal,1
C1524024,analysis aspect,ftcn,analysis aspect,1
C4042934,Mutation Accumulation,genf,Mutation Accumulation,1
C0005859,Bloom Syndrome,dsyn,Bloom Syndrome,1
C0043345,Xeroderma,dsyn,Xeroderma,1
C0033422,Prone Position,spco,Prone Position,1
C0007620,Cell Survival,celf,Cell Survival,1
C0219474,Bax protein,"aapp,bacs",Bax protein,1
C0653778,cytochrome c'',aapp,cytochrome c'',1
C0070410,perforin,"aapp,bacs",perforin,1
C0014272,Energy Metabolism,phsf,Energy Metabolism,1
C0678121,Basal metabolic rate,orgf,Basal metabolic rate,1
C0018841,Thermogenesis,orgf,Thermogenesis,1
C0452410,Balanced diet,topp,Balanced diet,1
C0016157,fish oils,"orch,phsu",fish oils,1
C0012177,Dietary Proteins,aapp,Dietary Proteins,1
C0004896,Beans (food),food,Beans (food),1
C1123020,Triticum aestivum,plnt,Triticum aestivum,1
C0336789,Combine,mnob,Combine,1
C0003622,Appetite Regulation,orgf,Appetite Regulation,1
C0392209,Nutritional status,fndg,Nutritional status,1
C0424678,Lean body mass,clna,Lean body mass,1
C0036773,Serum Albumin,aapp,Serum Albumin,1
C0021044,Immunohistochemistry,diap,Immunohistochemistry,1
C0079259,Dystrophin,"aapp,bacs",Dystrophin,1
C0025086,Medical Imaging,diap,Medical Imaging,1
C0277809,Anatomical position,spco,Anatomical position,1
C0817088,Surface of organ,blor,Surface of organ,1
C0229962,Body part,bpoc,Body part,1
C0036037,Bone structure of sacrum,bpoc,Bone structure of sacrum,1
C0728985,Cervical spine,bpoc,Cervical spine,1
C0223073,Structure of floating rib,bpoc,Structure of floating rib,1
C0205237,FALSE,qlco,FALSE,1
C0222787,Structure of costal cartilage,tisu,Structure of costal cartilage,1
C0020164,Bone structure of humerus,bpoc,Bone structure of humerus,1
C0041600,Bone structure of ulna,bpoc,Bone structure of ulna,1
C0684083,Structure of pelvic girdle,bpoc,Structure of pelvic girdle,1
C3887652,Pelvic Bones,bpoc,Pelvic Bones,1
C0006655,Bone structure of calcaneum,bpoc,Bone structure of calcaneum,1
C0039277,Talus,bpoc,Talus,1
C0016505,Bone structure of foot,bpoc,Bone structure of foot,1
C0224507,Synovial joint structure,bsoj,Synovial joint structure,1
C0224521,Facet joint structure,bsoj,Facet joint structure,1
C0442106,Intervertebral,blor,Intervertebral,1
C0502470,Typical rib,bpoc,Typical rib,1
C0501414,Visceral efferent nerve fiber,celc,Visceral efferent nerve fiber,1
C0501411,Somatic afferent nerve fiber,celc,Somatic afferent nerve fiber,1
C0228810,Structure of spinal nerve ventral branch,bpoc,Structure of spinal nerve ventral branch,1
C0228811,Structure of spinal nerve dorsal branch,bpoc,Structure of spinal nerve dorsal branch,1
C0205955,Posterior root of spinal nerve,bpoc,Posterior root of spinal nerve,1
C0017070,"Ganglia, Spinal",bpoc,"Ganglia, Spinal",1
C0230403,Fifth finger,bpoc,Fifth finger,1
C1261103,Fifth toe structure,bpoc,Fifth toe structure,1
C0230189,Hypogastric region,blor,Hypogastric region,1
C0040067,Thumb structure,bpoc,Thumb structure,1
C0009191,Coccygeal Region,blor,Coccygeal Region,1
C0037922,Spinal Canal,bsoj,Spinal Canal,1
C0228603,Somatic nerve plexus structure,bpoc,Somatic nerve plexus structure,1
C1301578,"Visceral sensation, function",orgf,"Visceral sensation, function",1
C0242622,Uteroplacental Circulation,ortf,Uteroplacental Circulation,1
C0041178,trophoblast,emst,trophoblast,1
C0259902,Gastrulation,orgf,Gastrulation,1
C0920623,Neural Plate,emst,Neural Plate,1
C0028439,Structure of notochord,emst,Structure of notochord,1
C0185026,Plication,topp,Plication,1
C0559459,Sacrococcygeal teratoma,neop,Sacrococcygeal teratoma,1
C1160083,Neurulation,orgf,Neurulation,1
C0332243,Ridging,ftcn,Ridging,1
C1184744,Ossification center,bpoc,Ossification center,1
C0037917,Spina Bifida Cystica,cgab,Spina Bifida Cystica,1
C0080174,Spina Bifida Occulta,cgab,Spina Bifida Occulta,1
C0080178,Spina Bifida,cgab,Spina Bifida,1
C0522510,With intensity,qlco,With intensity,1
C0266507,Myeloschisis,cgab,Myeloschisis,1
C1261470,Congenital meningocele,cgab,Congenital meningocele,1
C0025312,Meningomyelocele,cgab,Meningomyelocele,1
C0008487,Chordoma,neop,Chordoma,1
C0502416,Skeletal system of thoracic segment of trunk,bdsy,Skeletal system of thoracic segment of trunk,1
C0824497,Neurovascular bundle,bpoc,Neurovascular bundle,1
C0446472,Side of chest,blor,Side of chest,1
C1286152,Movement of ribs,clna,Movement of ribs,1
C1542178,Fracture of lower leg,inpo,Fracture of lower leg,1
C0234147,Knee reflex,fndg,Knee reflex,1
C0206332,Structure of patellar ligament,bpoc,Structure of patellar ligament,1
C0032650,Popliteal Cyst,acab,Popliteal Cyst,1
C0234171,Ankle reflex,clna,Ankle reflex,1
C1283643,Lumbosacral discs,bpoc,Lumbosacral discs,1
C0225368,Chondroblasts,cell,Chondroblasts,1
C4319583,Matrix (unit of presentation),qnco,Matrix (unit of presentation),1
C2316757,Increased creatine kinase level,fndg,Increased creatine kinase level,1
C0263214,Pyotraumatic dermatitis,dsyn,Pyotraumatic dermatitis,1
C0023931,Lobstein Disease,dsyn,Lobstein Disease,1
C1444783,Instability,fndg,Instability,1
C0017473,Germ Line,cell,Germ Line,1
C0679560,Genetic screening method,lbpr,Genetic screening method,1
C0079925,Antisense Oligonucleotides,"bacs,irda,nnon",Antisense Oligonucleotides,1
C0087012,"Ataxia, Spinocerebellar",dsyn,"Ataxia, Spinocerebellar",1
C1138555,Pharmacogenomics,bmod,Pharmacogenomics,1
C0025859,metoprolol,"orch,phsu",metoprolol,1
C0001916,Albinism,dsyn,Albinism,1
C0042900,Vitiligo,dsyn,Vitiligo,1
C0000887,Acantholysis,patf,Acantholysis,1
C0225002,Structure of alar ligaments,bpoc,Structure of alar ligaments,1
C5396065,Normal vertebral column,fndg,Normal vertebral column,1
C0265673,Congenital kyphosis,cgab,Congenital kyphosis,1
C0024003,Lordosis,dsyn,Lordosis,1
C0446685,Region of spinal cord,blor,Region of spinal cord,1
C0228582,Spinal Cord Lateral Horn,bpoc,Spinal Cord Lateral Horn,1
C2754376,spindle assembly checkpoint,celf,spindle assembly checkpoint,1
C0228125,Structure of dentate ligament,bpoc,Structure of dentate ligament,1
C0016109,Filum terminale structure,bpoc,Filum terminale structure,1
C0149601,Structure of conus medullaris,bpoc,Structure of conus medullaris,1
C0439230,week,tmco,week,1
C0226566,Structure of internal vertebral venous plexus,bpoc,Structure of internal vertebral venous plexus,1
C0196306,Drainage of vertebral column,topp,Drainage of vertebral column,1
C0222645,Axial skeleton structure,bpoc,Axial skeleton structure,1
C0225206,Thoracolumbar fascia,tisu,Thoracolumbar fascia,1
C0224301,Structure of erector spinae muscle,bpoc,Structure of erector spinae muscle,1
C0238767,Bilateral,spco,Bilateral,1
C1184475,Auscultatory triangle,bsoj,Auscultatory triangle,1
C0230114,Inferior lumbar triangle,bsoj,Inferior lumbar triangle,1
C0027531,Neck Injuries,inpo,Neck Injuries,1
C0231451,Hyperextension,sosy,Hyperextension,1
C0265677,Congenital hemivertebra,cgab,Congenital hemivertebra,1
C0265682,Sacralization of lumbar vertebra,cgab,Sacralization of lumbar vertebra,1
C1261045,Sacral vertebra structure,bpoc,Sacral vertebra structure,1
C0740418,Chronic back pain,sosy,Chronic back pain,1
C0021818,Intervertebral Disk Displacement,dsyn,Intervertebral Disk Displacement,1
C0225008,Transverse ligament of atlas,bpoc,Transverse ligament of atlas,1
C0443294,Ruptured behavior,ftcn,Ruptured behavior,1
C0205097,Caudal,blor,Caudal,1
C0002913,Epidural Anesthesia,topp,Epidural Anesthesia,1
C0581283,Injection into lumbar epidural space,topp,Injection into lumbar epidural space,1
C0038017,Congenital spondylolisthesis,cgab,Congenital spondylolisthesis,1
C0038018,Spondylolysis,dsyn,Spondylolysis,1
C0158288,Spinal stenosis of lumbar region,dsyn,Spinal stenosis of lumbar region,1
C0439639,Wedge,spco,Wedge,1
C0434858,Hangman Fracture,inpo,Hangman Fracture,1
C0740366,fractured vertebra (compression),inpo,fractured vertebra (compression),1
C0435351,Jefferson fracture,inpo,Jefferson fracture,1
C0920965,Apex of axilla,blor,Apex of axilla,1
C0002921,Local anesthesia,topp,Local anesthesia,1
C0920960,Axillary sheath,bpoc,Axillary sheath,1
C0004455,Structure of axillary artery,bpoc,Structure of axillary artery,1
C0004456,Structure of axillary vein,bpoc,Structure of axillary vein,1
C0398074,Division of artery procedure,topp,Division of artery procedure,1
C0729594,Axillary lymph node group,bpoc,Axillary lymph node group,1
C0457958,Branch of brachial plexus,bpoc,Branch of brachial plexus,1
C1744574,Bursa of shoulder,bpoc,Bursa of shoulder,1
C0006441,Synovial bursa,bpoc,Synovial bursa,1
C0435001,Ligament injury,inpo,Ligament injury,1
C0159658,Fracture of clavicle,inpo,Fracture of clavicle,1
C1959673,Muscle of rotator cuff,bpoc,Muscle of rotator cuff,1
C0161479,Nerve injury,inpo,Nerve injury,1
C0149776,Shoulder Injuries,inpo,Shoulder Injuries,1
C0559395,Luxatio Erecta,inpo,Luxatio Erecta,1
C0203221,Radiography of shoulder,diap,Radiography of shoulder,1
C0410256,muscle injury,inpo,muscle injury,1
C1532240,Disorder of rotator cuff,dsyn,Disorder of rotator cuff,1
C0584869,Supraspinatus muscle structure,bpoc,Supraspinatus muscle structure,1
C0222141,Skin structure of shoulder,bpoc,Skin structure of shoulder,1
C0206239,Cubital Tunnel Syndrome,inpo,Cubital Tunnel Syndrome,1
C0829125,Posterior compartment of arm,bsoj,Posterior compartment of arm,1
C0222204,Skin of upper arm,bpoc,Skin of upper arm,1
C0006087,Structure of brachial artery,bpoc,Structure of brachial artery,1
C0520509,Arm Bones,bpoc,Arm Bones,1
C0225065,Structure of ligament of elbow joint,bpoc,Structure of ligament of elbow joint,1
C0449634,Arterial anastomosis,bsoj,Arterial anastomosis,1
C0230349,Cubital fossa,bsoj,Cubital fossa,1
C2720437,Dislocation of elbow joint,inpo,Dislocation of elbow joint,1
C0042951,Volkmann Contracture,dsyn,Volkmann Contracture,1
C0149977,Subluxation of radial head,inpo,Subluxation of radial head,1
C0748237,Fracture of head of radius,inpo,Fracture of head of radius,1
C0224849,Structure of extensor tendon,bpoc,Structure of extensor tendon,1
C0162857,Structure of radial artery,bpoc,Structure of radial artery,1
C0232142,"Radial pulse, function",ortf,"Radial pulse, function",1
C0009353,Colles' Fracture,inpo,Colles' Fracture,1
C0347795,Reversed Colles' fracture,inpo,Reversed Colles' fracture,1
C0833263,Canal of Guyon,bsoj,Canal of Guyon,1
C0337138,Tunnel structure,mnob,Tunnel structure,1
C0584557,Entire proximal carpal bone,bpoc,Entire proximal carpal bone,1
C0588207,Bone structure of distal radius,bpoc,Bone structure of distal radius,1
C0025526,Metacarpal bone,bpoc,Metacarpal bone,1
C0584558,Entire distal carpal bone,bpoc,Entire distal carpal bone,1
C0324320,Boxer dog,mamm,Boxer dog,1
C0272654,Fracture of scaphoid bone of wrist,inpo,Fracture of scaphoid bone of wrist,1
C0559425,Fracture of hamate bone of wrist,inpo,Fracture of hamate bone of wrist,1
C0223746,Structure of hook of hamate bone,bpoc,Structure of hook of hamate bone,1
C0181209,Hook,medd,Hook,1
C0225244,Palmar aponeurosis structure,bpoc,Palmar aponeurosis structure,1
C0224996,Retinaculum,bpoc,Retinaculum,1
C0833344,Fascia of wrist,bpoc,Fascia of wrist,1
C1184147,Palmar,spco,Palmar,1
C0224857,Structure of fibrous tendon sheath,bpoc,Structure of fibrous tendon sheath,1
C2349401,de Quervain syndrome,dsyn,de Quervain syndrome,1
C1185708,Synovial sheath,bpoc,Synovial sheath,1
C0039520,Tenosynovitis,dsyn,Tenosynovitis,1
C0158328,Trigger Finger Disorder,dsyn,Trigger Finger Disorder,1
C0013312,Dupuytren Contracture,dsyn,Dupuytren Contracture,1
C1267095,Intrinsic muscle of hand,bpoc,Intrinsic muscle of hand,1
C0447748,Structure of interphalangeal joint of thumb,bsoj,Structure of interphalangeal joint of thumb,1
C0231664,Allen test,diap,Allen test,1
C0226441,Deep palmar arterial arch,bpoc,Deep palmar arterial arch,1
C0457925,Anatomical snuffbox,blor,Anatomical snuffbox,1
C0450958,Musculocutaneous,spco,Musculocutaneous,1
C0920847,Circumpennate,cnce,Circumpennate,1
C0154744,Lesion of radial nerve,dsyn,Lesion of radial nerve,1
C0161459,Injury of radial nerve,inpo,Injury of radial nerve,1
C0429271,Grip strength,qnco,Grip strength,1
C1305417,Entire elbow region,bpoc,Entire elbow region,1
C0230373,Palmar surface,blor,Palmar surface,1
C2939189,Lesion of median nerve,dsyn,Lesion of median nerve,1
C0817662,Palm of hand,blor,Palm of hand,1
C1288279,Lesion of ulnar nerve,dsyn,Lesion of ulnar nerve,1
C0574906,Musculocutaneous nerve lesion,dsyn,Musculocutaneous nerve lesion,1
C0446787,Radial nerve in forearm,bpoc,Radial nerve in forearm,1
C0224240,Structure of brachialis muscle,bpoc,Structure of brachialis muscle,1
C0266011,Accessory nipple,cgab,Accessory nipple,1
C0432357,Congenital absence of breast with absent nipple,cgab,Congenital absence of breast with absent nipple,1
C0222611,Axillary tail of breast,bpoc,Axillary tail of breast,1
C0221370,Retraction of nipple,dsyn,Retraction of nipple,1
C0578531,Skin dimple,fndg,Skin dimple,1
C1313858,Orange (color),qlco,Orange (color),1
C1522495,Sentinel Lymph Node,bpoc,Sentinel Lymph Node,1
C0230131,Posterior chest wall,blor,Posterior chest wall,1
C0224337,Skeletal muscle structure of thorax,bpoc,Skeletal muscle structure of thorax,1
C0016196,Flail Chest,inpo,Flail Chest,1
C0234244,Tissue Pain,sosy,Tissue Pain,1
C0230136,Structure of intercostal space,bsoj,Structure of intercostal space,1
C0738519,Paravertebral line,blor,Paravertebral line,1
C0442126,Midaxillary,spco,Midaxillary,1
C0442127,Midclavicular,spco,Midclavicular,1
C0034014,Bone structure of pubis,bpoc,Bone structure of pubis,1
C1293097,Division (surgical procedure),topp,Division (surgical procedure),1
C1720043,Structure of subregion of abdomen,blor,Structure of subregion of abdomen,1
C0448419,Entire anterolateral muscle of abdomen,bpoc,Entire anterolateral muscle of abdomen,1
C1185946,Posterior layer of rectus sheath,bpoc,Posterior layer of rectus sheath,1
C0225205,Aponeurosis structure,tisu,Aponeurosis structure,1
C0225043,Inguinal ligament,bpoc,Inguinal ligament,1
C0225231,Structure of deep inguinal ring,bpoc,Structure of deep inguinal ring,1
C0230319,Inguinal triangle,blor,Inguinal triangle,1
C0239783,Inguinal pain,sosy,Inguinal pain,1
C0458658,Spermatic fascia,bpoc,Spermatic fascia,1
C0450297,Processus vaginalis,bpoc,Processus vaginalis,1
C0582240,Border of rib,blor,Border of rib,1
C0230196,Linea semilunaris,blor,Linea semilunaris,1
C0332803,Surgical wound,inpo,Surgical wound,1
C0738766,Diaphragmatic peritoneum,bpoc,Diaphragmatic peritoneum,1
C0205826,Lumbar plexus structure,bpoc,Lumbar plexus structure,1
C0003484,Abdominal aorta structure,bpoc,Abdominal aorta structure,1
C1531837,Common iliac artery bifurcation,bpoc,Common iliac artery bifurcation,1
C0932027,Ventral branches of aorta,bpoc,Ventral branches of aorta,1
C0042458,Inferior vena cava structure,bpoc,Inferior vena cava structure,1
C0226758,Structure of common iliac vein,bpoc,Structure of common iliac vein,1
C0008107,Chile,geoa,Chile,1
C0225844,Right atrial structure,bpoc,Right atrial structure,1
C0030786,Hip Bone,bpoc,Hip Bone,1
C0582832,Sacrotuberous ligament,bpoc,Sacrotuberous ligament,1
C1563028,Rotation dysfunction of the sacrum,patf,Rotation dysfunction of the sacrum,1
C0735411,Structure of female pelvis,bpoc,Structure of female pelvis,1
C0301869,Immunostimulating conjugate (antigen),imft,Immunostimulating conjugate (antigen),1
C0923008,Interspinous diameter,blor,Interspinous diameter,1
C0230283,Structure of inferior aperture of minor pelvis,bsoj,Structure of inferior aperture of minor pelvis,1
C0230277,Superior pelvic aperture,bsoj,Superior pelvic aperture,1
C0224384,Structure of levator ani muscle,bpoc,Structure of levator ani muscle,1
C1185993,Urogenital hiatus,bsoj,Urogenital hiatus,1
C1282080,Branch of internal iliac artery,bpoc,Branch of internal iliac artery,1
C0429956,Bowels: fully continent (finding),fndg,Bowels: fully continent (finding),1
C0232722,Anal function,ortf,Anal function,1
C0028783,Structure of obturator nerve,bpoc,Structure of obturator nerve,1
C3538818,Ramus Intermedius Artery,bpoc,Ramus Intermedius Artery,1
C0205827,Sacral plexus structure,bpoc,Sacral plexus structure,1
C0459351,Branch of sacral plexus,bpoc,Branch of sacral plexus,1
C2919582,Akan language,lang,Akan language,1
C1179589,Cruciate,blor,Cruciate,1
C0162370,Trochanter,bpoc,Trochanter,1
C0015802,Femoral Fractures,inpo,Femoral Fractures,1
C0224415,Skeletal muscle structure of hip,bpoc,Skeletal muscle structure of hip,1
C0231730,Trendelenburg sign,fndg,Trendelenburg sign,1
C0222165,Skin structure of buttock,bpoc,Skin structure of buttock,1
C0021492,Intramuscular injection,topp,Intramuscular injection,1
C0225266,Structure of iliotibial tract,bpoc,Structure of iliotibial tract,1
C0015642,Fascia lata structure,bpoc,Fascia lata structure,1
C0224416,Skeletal muscle structure of thigh,bpoc,Skeletal muscle structure of thigh,1
C0019288,"Hernia, Femoral",acab,"Hernia, Femoral",1
C0036394,Structure of sciatic nerve,bpoc,Structure of sciatic nerve,1
C0022742,Knee,bpoc,Knee,1
C0042282,Valgus deformity,fndg,Valgus deformity,1
C0080039,Posterior Cruciate Ligament,bpoc,Posterior Cruciate Ligament,1
C0231736,Drawer sign,sosy,Drawer sign,1
C0456624,Knee meniscus structure,bpoc,Knee meniscus structure,1
C0206365,Structure of collateral ligament,bpoc,Structure of collateral ligament,1
C0409497,Joint injury,inpo,Joint injury,1
C0022744,Knee Injuries,inpo,Knee Injuries,1
C1688635,Feeling unhappy,fndg,Feeling unhappy,1
C0224829,Structure of infrapatellar bursa,bpoc,Structure of infrapatellar bursa,1
C0225270,Structure of crural fascia,bpoc,Structure of crural fascia,1
C0224456,Skeletal muscle structure of lower leg,bpoc,Skeletal muscle structure of lower leg,1
C1302325,Tibial nerve lesion,dsyn,Tibial nerve lesion,1
C0448224,Neck of fibula,blor,Neck of fibula,1
C0270909,Common peroneal nerve lesion (disorder),dsyn,Common peroneal nerve lesion (disorder),1
C0228949,Structure of deep peroneal nerve,bpoc,Structure of deep peroneal nerve,1
C0009492,Compartment syndromes,dsyn,Compartment syndromes,1
C0038045,Sprain,inpo,Sprain,1
C0225150,Structure of tarsal canal,bsoj,Structure of tarsal canal,1
C0025590,Region of metatarsal,blor,Region of metatarsal,1
C0039316,Tarsal Bones,bpoc,Tarsal Bones,1
C0265656,Congenital hallux valgus,cgab,Congenital hallux valgus,1
C1261050,Interphalangeal joint of big toe,bsoj,Interphalangeal joint of big toe,1
C0450218,Tarsometatarsal,spco,Tarsometatarsal,1
C0222269,Skin structure of thigh,bpoc,Skin structure of thigh,1
C0729596,Inguinal lymph node group,bpoc,Inguinal lymph node group,1
C0018246,Inguinal region,blor,Inguinal region,1
C1265465,Subfamily Erinaceinae,mamm,Subfamily Erinaceinae,1
C0009081,Congenital clubfoot,cgab,Congenital clubfoot,1
C0265554,Ectrodactyly,cgab,Ectrodactyly,1
C0039075,Syndactyly,cgab,Syndactyly,1
C0158489,Acquired clubfoot,acab,Acquired clubfoot,1
C0221357,Brachydactyly,cgab,Brachydactyly,1
C0239337,Deformity of limb,anab,Deformity of limb,1
C0152427,Polydactyly,cgab,Polydactyly,1
